kotlin/collections: {kotlin/collections, d6cefba9188e98913e7b9101f091c265}
androidx/fragment: {androidx/fragment, 25926fb156342c27cff1ebc599dd8932}
androidx/media3/container: {androidx/media3/container, 93eba9e0afa0eb2a534fcdc1b7675810}
kotlin: {kotlin, d246e713f116aa2ad4e66fa64c84c531}
androidx/media3/extractor: {androidx/media3/extractor, fd82c37d4ab80362a67277ee82ac9a47}
kotlin/coroutines: {kotlin/coroutines, 37a052d2daa3656964b9d3a1b2b6e081}
dagger/hilt: {dagger/hilt, 402b60835dd98f3c3a9e2ac703c3add7}
coil/transform: {coil/transform, f23bac95caf3ae9862781d6c2ee61ff8}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 213bd5b2e045a34fee4700e33c7aeaa6}
androidx/interpolator/view: {androidx/interpolator/view, f70ab05a257046ef2a527d12bbe28260}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], fe6ab7eb072494a526d38b7b8cecb2bb}
com/google/accompanist: {com/google/accompanist, fabc526177f4ce67d8034f80c5e3f12e}
okio: {okio, 63ee6d0f17f7fb8713c4ad6f83825602}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 0ab2f9a133dea34d5ddd621aaaa25d1a}
androidx/emoji2/text: {androidx/emoji2/text, 68cb89d596ac9edd6018cac6f600ffd3}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
coil/disk: {coil/disk, c1940a28dad86cc1e9d6e8d624612b98}
kotlin/ranges: {kotlin/ranges, ac61bf0f62594669304da918f48f835c}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
coil/util: {coil/util, 1f3f4bd33988c61ac6496949c8da4a6b}
coil/transition: {coil/transition, 964385e37f05f3d0e7c9585c2aba433f}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, e03c85daee3092303ca31d42696a537e}
