a6: {a6, acf7ef943fdeb3cbfed8dd0d8f584731}
q1: {q1, e4ffa20f6a21dab70af5d01ff92fef4a}
x1: {x1, a7f6cccb02b3b1c91e910056dd4b7a1f}
g3: {g3, 971baef68e31e7680ac5ff0e0ab3ae18}
r4: {r4, a4e9f6b7e0ebd5f4823987d20902568c}
androidx/compose/ui: {androidx/compose/ui, b6c69afcd3cdfabc16dbdea97cec5a3b}
y5: {y5, acf7ef943fdeb3cbfed8dd0d8f584731}
a7: {a7, 7d6461dd8a0a2e00f0e36f5baaa75523}
w5: {w5, 2715a4e088a25a3edb0f4f1afca31956}
m2: {m2, 63e9b7d1e2b45b778013ee036d232f83}
s4: {s4, 85ce63816697c3269e0c70481c9c36b3}
d7: {d7, f343778f0f16570a7b654f9bba58e5b9}
o5: {o5, 83772cfdb65f207d12b99b640c5e2885}
h5: {h5, a96d16dc158a1603695a1c6c9b0a920b}
androidx/navigation/compose: {androidx/navigation/compose, 52d4261658f71b55c0bbd061ee91fbe9}
c2: {c2, 7208b608024369410d9198152c8acf38}
a3: {a3, 4585d6caddaf76bee824293ad0dce088}
z4: {z4, 9e43a2fdb24f84577df5baabf363c664}
androidx/fragment/app: {androidx/fragment/app, fbecfde750b59a9fc1ef6d54dcd6c1f0}
t5: {t5, 203cf6f3ae17301dd127ba8fac37f81f}
j0: {j0, 9b821315602217830b3da61f24ecec3e}
l3: {l3, 8c8e2805ddb26d29306dec04c1a088c9}
n3: {n3, 80ba3752d58475650cd27d17bdb67457}
u1: {u1, 71216c83447b4f40c324a675d77c2207}
e: {e, 65f415f33cacfa9af74368553bdf0e29}
p5: {p5, 64b2296a6f1765aec5da7e08c9f642ee}
d3: {d3, 70d7ec49601f90f8cbf2711829d84383}
l0: {l0, 8ce85816a3b9f6bfe64627072bdc1943}
f3: {f3, 21d1073a0553f0d706d0a91a7d9447e1}
k2: {k2, af9fd228a02b4f1f78658993d1882c03}
m: {m, bedf97bed206874d905ec825d81bf54d}
e3: {e3, 9a5eaac1ed8d83a2e8941e8216952089}
v1: {v1, ca44e405cab4090405b46279cf467b37}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
y4: {y4, d5bdb356acbb0029d8ffa3056f68227c}
q0: {q0, a94819c032ec2e803fff588d843fcb23}
f0: {f0, 92fa04893da053780117f7cbfc7331e6}
c5: {c5, 9c4d0883a5a7954c621d39a79c876137}
w4: {w4, 0c781d7e15828acaac72718b4ef21f9c}
androidx/profileinstaller: {androidx/profileinstaller, 1cf292a0c94dbae1d18450356566c550}
r5: {r5, 9b85d2f0191bd0a5309bf8d38b232963}
z2: {z2, edc19b9d9e407a35011a57e3fc8e1795}
o4: {o4, dd0f00eb8c400100979435251c96468a}
m1: {m1, 06290a5ee8fe1a689ff213fd12491b6a}
b4: {b4, d7a3ad67692bbb2e72ed95cfd33cbde6}
x2: {x2, 7170d0ee25f06549cd46344a3b08d64b}
v: {v, 7a62f57258c522cc412c31fdda2cc528}
a2: {a2, 5f05d160afb650908bf3a9c63331e56f}
h6: {h6, 60307c44838d59adc500f14eb75a1302}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
n0: {n0, d72f4f18c2c3bf4c38dce73943711115}
u0: {u0, 60219c3d54ec74edc17800ac1402dfd2}
k5: {k5, b011bffac9fa8d9928c139745ec78ab3}
z5: {z5, 711da4a2dbb835e7fc1f7bd72e2621ff}
i1: {i1, 17df39e14aadce5bf769a89e4d61c122}
f: {f, 3e1d4ca139e86845bd322aeaef03c3ba}
v6: {v6, 1f14252e4db38639b54e5143443b3cd1}
l4: {l4, 9c6f81d962b597822e3993af5990e2ef}
y6: {y6, d332349820d47355294f6e48d02a0fe9}
n: {n, 1c7ecc389d3fa96839072ab96b49bfe2}
kotlinx/coroutines/sync: {kotlinx/coroutines/sync, d07a87a960f6279c96e73ac9122e5d5e}
p6: {p6, 58b5bcaca4c7eb0ecd6ef66a14eb5c5c}
d4: {d4, 9b3ae4601ef70f47de63f56c784e3ed1}
androidx/appcompat/app: {androidx/appcompat/app, 032206a4a6147504f1be2203dd3c9fcc}
t6: {t6, 2929991e07bc72906d2f2312fe552d4c}
j1: {j1, ff859674031c9d3dce7112af985a77be}
u: {u, de38e2f641dc3e153771682fd934ed19}
w7: {w7, c973d00ebf59c953b3c13172c343a24f}
kotlinx/coroutines/flow: {kotlinx/coroutines/flow, 5236d85ed5896180de33b03912614a10}
y3: {y3, 57709e2fac4e0c27b220df08086a5972}
c4: {c4, 46153c53a58ed91a4dfeae9b231a97e2}
p7: {p7, 987a5e2db45b647de708e19ba728577b}
s1: {s1, 01034e1e0c458cd535db908f7bb75124}
o: {o, 78c505f510ed64f7be60cd4743f3ae59}
f1: {f1, fbad8184be85b2993c92764d1a597aec}
z3: {z3, dcbf91d254309dc72ce18cd6cefba2f1}
a1: {a1, 5f4e5beac0cdfb3043a3569399d838ce}
h7: {h7, 2fb4760d044174c525bc03711e93bcd9}
w: {w, 96147de43670e604a900c785c75321e9}
i7: {i7, cfcaf534e8e8fcb5e29097222359ce57}
x3: {x3, 662a8c2b570dc2ecc109bdce5755ec0a}
g5: {g5, 8d2707854d7505dda071031d78f4fe40}
