androidx/exifinterface/media: {androidx/exifinterface/media, cd90d87b878c6731e6d4e318ef77bb6f}
m4: {m4, b95f16464acdbbb214cf5d9b3fbc1e53}
t4: {t4, cf7ccdc2f9a329e5d2c64f343436ab20}
u2: {u2, 863a09284c47b38b6c4bc1c3dc2cf045}
s: {s, e902076b411a88ba80282d80929de37c}
d: {d, b7e9fdd512c17fc2b2cb67fe5f9c4490}
androidx/startup: {androidx/startup, f626c2e9bb02f617aca8b51ac844b29b}
h3: {h3, a30476fb631127bcd52de692e523357f}
n2: {n2, b448bb4ad5a6782ec175030d8d71123c}
k3: {k3, d3d0ccb32dd3efbbd6937ee54ffd65d2}
p4: {p4, 420e47386ebcf746d825287010bb5395}
l: {l, ee0228c71788676d743dda1e68b55076}
y0: {y0, a190cb409424d2980344418d06ca2ff3}
f2: {f2, 1ef61d2697d48017a996da42b706078e}
v0: {v0, 7416940ecf8be2db9893e17c8e582420}
d2: {d2, ffe81a3b0ff03e721af2d0826da95b17}
x1: {x1, b8ff38ee5137d0cbba1bf46ed80ebc7e}
g3: {g3, c1bf2227dc6c91dc2b4521268b3ff7bc}
androidx/browser/customtabs: {androidx/browser/customtabs, a310e66444ebc02ede948e7917c343c8}
androidx/viewpager/widget: {androidx/viewpager/widget, ac6f3867c6163f26bdb8c16219852af8}
r4: {r4, acf7ef943fdeb3cbfed8dd0d8f584731}
b0: {b0, b5a1b7fe0f231a52febe5a86d40ffaa0}
y5: {y5, cb45638dbd4b7050b8e803149c81da23}
m2: {m2, 48a494ae8383120a8280916337978811}
com/google/android: {com/google/android, d05454b9c5e32a7145f2aed01c98d89c}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
o5: {o5, 1affbf0c873a17a923d87ab503cbfce0}
h5: {h5, 3783b00c9f52598e1cb0a7e7262a74eb}
w5: {w5, 9d6e6f870536b5d8960de6e01edb2e01}
c2: {c2, 5b682592e554dd64535b26657ea915e6}
u: {u, 9b2b4dc03ec998beb7199d6ec1e074c2}
z4: {z4, de85ff9c2025d73cd69f50ab4c267495}
androidx/fragment/app: {androidx/fragment/app, 37a937da105f7d6a6362c8d563a2fa56}
coil/network: {coil/network, ebcfcd5bd07af03d6690fe4cf34d87e8}
t5: {t5, 08806a62cd076cd2228dcdea0855a079}
j0: {j0, bc821199f0b89b4f9fc111dfc646a618}
l3: {l3, 7f9131b56758e7f12e23c9451a5543d6}
n3: {n3, aacad93213bd4a2dd173e414016a4694}
u1: {u1, 85eff7f2834df0400bd9ae04788d9f4f}
e: {e, 8f6532a6e451767d9ba7d6b24df1de85}
p5: {p5, 0197e5dd8956c484d9d74a583a03398d}
d3: {d3, f921d69d1cbad899813d89ba707c5ea1}
l0: {l0, 767da199c76f29c8755002f27f10d7eb}
f3: {f3, 3554f12282085f54e08a805311e9acf8}
k2: {k2, ede49aa57f0953d2f17d2929955e8a1f}
m: {m, fdf39a2f2b1c8ef3878b380e6d5a7875}
e3: {e3, bf5a768681fcc4dd80932e83bfac4fe0}
v1: {v1, e222888f030ef7383f6746d7479d56df}
y4: {y4, 3d01f52fd609aeb11f197ef3ed7d2804}
kotlin/io: {kotlin/io, 3276b058e081d20bcd0c5788a4e18c40}
f0: {f0, 21fa109fafd90ed6108e27b46b0698a4}
c5: {c5, 58984840fa18353093524c64cab4b110}
w4: {w4, 00bad66f75efef8a1d69c8896599ae73}
androidx/profileinstaller: {androidx/profileinstaller, d39c3eb77c34d6211103617278130565}
r5: {r5, 377600feb4fb462e822748b6e96a4bed}
com/google/gson: {com/google/gson, 49cf4a09b5f54e3e7db2933e6a1d4160}
z2: {z2, c5449fd02f6575fbea2bf4a9a127c15b}
o4: {o4, acf7ef943fdeb3cbfed8dd0d8f584731}
m1: {m1, c4bc8e8ef4498bd64f14f239bb5d3ff6}
b4: {b4, 9a5359c05b729f073c91d4b4f657ab30}
x2: {x2, 39010008e9758c571fc0e8b183df6765}
v: {v, 159f818da2e43db1d6bfd849958fd701}
a2: {a2, d8dddf4ba7792c164325f9f4d37f828d}
h6: {h6, 693780f3ab682357cb238ed853c21bd1}
androidx/core/text: {androidx/core/text, ad13db90f15bcd6f88d5c1cf59997b4d}
n0: {n0, efae158732e31aa25d57193e5d7a7400}
u0: {u0, 00e5279e2884b9b7c048d7e64b5d98d5}
k5: {k5, 0c1959943235054f870baf753c7d178e}
z5: {z5, 93103f6a3ffc2e4360a038896ea3a252}
kotlin/enums: {kotlin/enums, fa230c5cd7edb65943704c3c0daa70ef}
i1: {i1, 7876a7e0090ef36f221e40b202e7f6b5}
f: {f, 038746be5b07220fe0509c0f618dedfc}
l4: {l4, d0c26911e982f61907a2cb2d09658687}
n: {n, 02d779897015b9b8ea3790dffb5a4f85}
androidx/core/net: {androidx/core/net, 86cb9e4748cf4b5befbfed1135cbbf9d}
d4: {d4, 17976189cb110899a40dd0170325fae7}
e2: {e2, 008dc38294a9bc3a7bf14addf8c12600}
j1: {j1, f8f54d5f655293ae1777f0caae0e12b8}
a3: {a3, 685eb3ff7cf0ff7faa5900f1b634a4d1}
