retrofit2: {retrofit2, 2192b54f43e5bb6c562b19191c70b95f}
kotlin/collections: {kotlin/collections, 9c5e77a8d7c2dd92e5dcbdbab5bc9dae}
androidx/fragment: {androidx/fragment, fadbb53772dc1b9ec21b71375cee7e66}
kotlin/contracts: {kotlin/contracts, 5f92cb18e7c1f92c099e059775f8c3d3}
kotlin: {kotlin, 9ebd0388f485cb88b1b570b3cb41c112}
org/checkerframework/checker: {org/checkerframework/checker, b6d0fa49edc5b46cace8badcefa884d8}
kotlin/coroutines: {kotlin/coroutines, 09d097959e496e171b6014a1525c34bc}
kotlin/concurrent: {kotlin/concurrent, b7e3f24b26cd3a70befe0dd39a05d9d6}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 024b5128cf6d2ed456a0013a5b49301c}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
okio: {okio, 365e161ef4c2e7da928b2cef28444ec0}
com/google/thirdparty: {com/google/thirdparty, 04831334dbdd4fabcc97924e09e0a7a0}
retrofit2/adapter/rxjava: {retrofit2/adapter/rxjava, aa4e5e8db1fcc9fe7da072910e311d01}
kotlin/time: {kotlin/time, 5e24b96175d374c394b7a2b66350579b}
retrofit2/converter/gson: {retrofit2/converter/gson, e3dcf7a5eb53966bc2965325f7c34beb}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/print: {androidx/print, a26d68553808a5fa1fa0d8e5867ff389}
kotlin/ranges: {kotlin/ranges, fa88227b41d25aa8b91558a1f7b600fe}
kotlinx/android/parcel: {kotlinx/android/parcel, 8dd422c7dd8b046709138bebf7749d79}
com/google/gson: {com/google/gson, 03ca8ce39b0f40d786a4370d54f2e6aa}
androidx/customview: {androidx/customview, f30ccbeb1c0fc215d4e8bf0f93e2ff7b}
okhttp3/logging: {okhttp3/logging, cde74ec35b2b844cf92050772b5254e2}
