brut/util: {brut/util, a64dbb4e9c4baba862daa2695e97a553}
androidx/recyclerview: {androidx/recyclerview, 6e0f2630f956c6912cb5cc558b4aef7f}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 5de0b53f59ce40011ce2d17f7ea15fa5}
android/hardware/biometrics: {android/hardware/biometrics, 659a6ef0cd0c2fd554492c5a21e14724}
kotlin/jvm: {kotlin/jvm, 64a400ce0542571a215b8fe0d04e64f1}
coil/size: {coil/size, 54f57019b91cd281cc2bb38442797f84}
com/mindprod/ledatastream: {com/mindprod/ledatastream, dc6938b07767e126db97ef5b81e2b882}
kotlin/io: {kotlin/io, 4931d648830a33e4e9077dc1135b5a2d}
androidx/profileinstaller: {androidx/profileinstaller, 48d6ffd068a218e5b0f86802dee6dc68}
com/lambdaworks/jni: {com/lambdaworks/jni, 2b5d0f5854a362fbedccb0436e04ff01}
android/icu/util: {android/icu/util, a4da3e04e6e7d40a41d7257971e75fd0}
com/google/protobuf: {com/google/protobuf, 2512bf45abd429d0e3712f0024544a89}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 4b110af3845a4cdd99a91662f55f620c}
com/google/zxing: {com/google/zxing, acf4dc6594e9eae55c2383c0d5c82397}
dagger/internal: {dagger/internal, 1a405071b53557ab4700533bad1f40a2}
coil/memory: {coil/memory, 7bbf347e3b52f5d2a569af9edb0df0b9}
androidx/loader/content: {androidx/loader/content, 5b815ad39a84b4540e7a8df9841cb1ec}
com/squareup/moshi: {com/squareup/moshi, e545bf1723f38c89e699f8ae02b09b34}
coil/decode: {coil/decode, 9f3e4fb5afdec6f0e9277351c9089b3b}
androidx/arch/core: {androidx/arch/core, 3c40f0f72fbbd0737870080356ab1510}
kotlin/properties: {kotlin/properties, 0fbd32867114dad098e173998b76f501}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, c06c57a66dc2628dcd48b1299c78b3fb}
androidx/biometric: {androidx/biometric, c60be9bdee4077fe300e8dc961a22ffd}
androidx/concurrent/futures: {androidx/concurrent/futures, 3ddf4582806b0a3dc0d1a6c2469c4c6f}
com/google/common: {com/google/common, 4bcdf1752572f0b777038dc3c0b65078}
kotlin/collections: {kotlin/collections, dfa25559b79c18bd48a48373658bc239}
androidx/fragment: {androidx/fragment, e50ceebee6d203caf892c7321a9b76f8}
androidx/datastore: {androidx/datastore, 99f32dd996a07d05f2faec1028fc6c43}
androidx/customview/widget: {androidx/customview/widget, 0af4e49a81d4ea7566a0bbb0f1a2859a}
kotlin: {kotlin, a9f7b75313fcdc2cacb7a15cd10f587f}
ch/qos/logback: {ch/qos/logback, 87a8c7da910948f320f6c1e31305eab0}
kotlin/coroutines: {kotlin/coroutines, f5062571484c149816fa9474a23007a5}
dagger/hilt: {dagger/hilt, 56e7bc1a41bf67c086feb4b861c85a01}
coil/transform: {coil/transform, e881557d47bb0e0393ecd2d1dc456e78}
kotlin/comparisons: {kotlin/comparisons, 85251d38a12f18defd5c86cd2ad13108}
io/jsonwebtoken: {io/jsonwebtoken, de49eb27da300313715d44b486159ecd}
android/net/ssl: {android/net/ssl, fc6f99f70236ce11eac0fb3d6aeb3b33}
androidx/paging: {androidx/paging, 42eac228353aa799f66f17094606de74}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, d42c8b15c8f52d61b5be658eeb01eddf}
androidx/work: {androidx/work, 35be109d9a31ad6c7d3195ec03898664}
android/text: {android/text, 2733e2836e342a73565f1c4a6d88cd13}
org/spongycastle/tsp: {[org/spongycastle/tsp, org/spongycastle/math, org/spongycastle/asn1, ], ac9c542684f271e7215c00369bbb793e}
androidx/emoji2/text: {androidx/emoji2/text, 2c54e865804abe27b788df6cf0e9ada4}
android/security/identity: {android/security/identity, c4e9eeb25e17c46354752ac4239a9772}
androidx/exifinterface/media: {androidx/exifinterface/media, e049aac4794ff63b24656427c68f21e3}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
com/bumptech/glide: {com/bumptech/glide, 9d2ced0d31192c49605fb99966d929ae}
kotlin/ranges: {kotlin/ranges, d27fc3f269e4e82e18fe1645e53d590f}
androidx/tracing: {androidx/tracing, d70813e462fcef330b6af75eedc15146}
com/google/gson: {com/google/gson, 4dfbc2339ebdcb9c51f20bace68d2499}
coil/util: {coil/util, 1981b1e6188bd2efc55f479bca0d8c6f}
