kotlin/comparisons: {kotlin/comparisons, b6c6bea7ff810200942e043a5c2ac9eb}
moe/feng/alipay: {moe/feng/alipay, 2e378473b829b9c81ec4392b2d0684bf}
com/crashlytics/android: {com/crashlytics/android, c445a34524dfdc87f5380f4c525c66aa}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/view: {androidx/legacy/view, 542dd9699021b2a489ba6c7d8f6e4a23}
okio: {okio, 713d8cc4065c0211db4815794eeb59f9}
com/google/firebase: {[com/google/firebase, com/google/android, ], 115dcc4cb00899db6b95e2a0f545f0e2}
kotlin/text: {kotlin/text, ddff933e480a15a879407a41e24f354a}
kotlinx/html: {kotlinx/html, 357bea9f61c14f0b447255c463c463dc}
androidx/print: {androidx/print, c406f180b7026086b572c59a6157f638}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
kotlin/ranges: {kotlin/ranges, f845b5f135e702f25184e971d6297c35}
com/spreada/utils: {com/spreada/utils, 88879ab4c312660c23883a01c5598034}
com/google/gson: {com/google/gson, 2ec3d3711df0865f237a40b281890f9f}
androidx/customview: {androidx/customview, 4dffdd68afccbe70bb482544553692cf}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
