net/cachapa/expandablelayout: {net/cachapa/expandablelayout, 190ac8d0e287dc31a37f394c9757c69c}
androidx/savedstate: {androidx/savedstate, 770e301727db80135cea998bf5c26368}
okhttp3/internal: {okhttp3/internal, 73bfb5583f5080729bb80537f33073ed}
com/sun/mail: {com/sun/mail, 51e3e7da8c9965afe003be0114d2faf6}
com/google/android: {com/google/android, afe85115f1927bbffecef42315bdf4d2}
ezvcard: {ezvcard, 0a0ba39192be0cc4c93400ba4462b926}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 36ab0ea22afd0efd3ca02e197637dcaf}
kotlin/ranges: {kotlin/ranges, 45ae14b78667c11e7797073d1a046595}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
com/etesync/syncadapter: {[com/etesync/syncadapter, com/etesync/journalmanager, ], 1c1a5516d3af6b7720f1512bc02d1828}
ezvcard/io: {ezvcard/io, d36e459250debc95173e8245d89c1f32}
androidx/startup: {androidx/startup, d2873036566ef9a20f45b3df2b768063}
kotlin/comparisons: {kotlin/comparisons, e670dff6f4e3bd6ad5b054f221be3b10}
yuku/ambilwarna: {yuku/ambilwarna, 8e39844422dc624ef0e4b9118da4a853}
org/spongycastle/util: {org/spongycastle/util, e22e0fd1cd3c565c009e594379be06be}
okio: {okio, a455ae56ca39a4d29df8a1f65ccc59c8}
androidx/recyclerview: {androidx/recyclerview, 26213d7e2fd3d84c9b39ca166aefa7d7}
org/acra: {org/acra, e2fadb9b402610b0b150ee0e5c5fc56f}
androidx/databinding: {androidx/databinding, d29223cb4ab9dbdca68a3a08312987e6}
androidx/loader/app: {androidx/loader/app, 04f7e2a5b421af5818b4f53f348a8b34}
